x1,T,P,y1
0.0,351.45,0.26316,0.0
0.02414,335.00304,0.26316,0.20686
0.04828,332.10414,0.26316,0.32035
0.07241,330.13077,0.26316,0.39194
0.09655,328.71196,0.26316,0.44118
0.12069,327.65248,0.26316,0.4771
0.14483,326.83702,0.26316,0.50452
0.16897,326.19294,0.26316,0.52626
0.1931,325.67235,0.26316,0.54403
0.21724,325.24186,0.26316,0.55902
0.24138,324.87843,0.26316,0.572
0.26552,324.56536,0.26316,0.58353
0.28966,324.29046,0.26316,0.59401
0.31379,324.04482,0.26316,0.60376
0.33793,323.8216,0.26316,0.613
0.36207,323.61594,0.26316,0.62193
0.38621,323.42417,0.26316,0.63068
0.41034,323.24365,0.26316,0.63937
0.43448,348.8546,0.26316,2.00663
0.45862,348.32352,0.26316,2.00647
0.48276,347.79244,0.26316,2.00604
0.5069,347.26136,0.26316,2.00551
0.53103,346.7305,0.26316,2.005
0.55517,346.19942,0.26316,2.0046
0.57931,345.66834,0.26316,2.00436
0.60345,345.13726,0.26316,2.00433
0.62759,344.60618,0.26316,2.00451
0.65172,344.07532,0.26316,2.00492
0.67586,343.54424,0.26316,2.00556
0.7,343.01316,0.26316,2.00641
0.7,343.01316,0.26316,2.00641
0.7051,342.90096,0.26316,2.00662
0.7102,342.78876,0.26316,2.00683
0.71531,342.67634,0.26316,2.00706
0.72041,342.56414,0.26316,2.00729
0.72551,342.45194,0.26316,2.00753
0.73061,342.33974,0.26316,2.00778
0.73571,342.22754,0.26316,2.00803
0.74082,342.11512,0.26316,2.0083
0.74592,342.00292,0.26316,2.00857
0.75102,341.89072,0.26316,2.00885
0.75612,341.77852,0.26316,2.00913
0.76122,341.66632,0.26316,2.00943
0.76633,341.5539,0.26316,2.00973
0.77143,341.4417,0.26316,2.01003
0.77653,341.3295,0.26316,2.01034
0.78163,341.2173,0.26316,2.01066
0.78673,341.1051,0.26316,2.01099
0.79184,340.99268,0.26316,2.01132
0.79694,340.88048,0.26316,2.01165
0.80204,340.76828,0.26316,2.01199
0.80714,340.65608,0.26316,2.01233
0.81224,340.54388,0.26316,2.01268
0.81735,340.43146,0.26316,2.01303
0.82245,340.31926,0.26316,2.01339
0.82755,340.20706,0.26316,2.01375
0.83265,340.09486,0.26316,2.01412
0.83776,339.98244,0.26316,2.01448
0.84286,339.87024,0.26316,2.01485
0.84796,339.75804,0.26316,2.01523
0.85306,339.64584,0.26316,2.0156
0.85816,339.53364,0.26316,2.01598
0.86327,339.42122,0.26316,2.01636
0.86837,339.30902,0.26316,2.01675
0.87347,339.19682,0.26316,2.01713
0.87857,339.08462,0.26316,2.01752
0.88367,338.97242,0.26316,2.0179
0.88878,338.86,0.26316,2.01829
0.89388,338.7478,0.26316,2.01868
0.89898,338.6356,0.26316,2.01907
0.90408,338.5234,0.26316,2.01946
0.90918,338.4112,0.26316,2.01985
0.91429,338.29878,0.26316,2.02024
0.91939,338.18658,0.26316,2.02063
0.92449,338.07438,0.26316,2.02102
0.92959,337.96218,0.26316,2.02141
0.93469,337.84998,0.26316,2.0218
0.9398,337.73756,0.26316,2.02218
0.9449,337.62536,0.26316,2.02257
0.95,337.51316,0.26316,2.02295
0.95,337.51316,0.26316,2.02295
0.95263,337.4553,0.26316,2.02315
0.95526,337.39744,0.26316,2.02334
0.95789,337.33958,0.26316,2.02354
0.96053,337.2815,0.26316,2.02374
0.96316,337.22364,0.26316,2.02393
0.96579,337.16578,0.26316,2.02413
0.96842,337.10792,0.26316,2.02432
0.97105,337.05006,0.26316,2.02451
0.97368,336.9922,0.26316,2.0247
0.97632,336.93412,0.26316,2.02489
0.97895,336.87626,0.26316,2.02509
0.98158,336.8184,0.26316,2.02527
0.98421,336.76054,0.26316,2.02546
0.98684,336.70268,0.26316,2.02565
0.98947,336.64482,0.26316,2.02584
0.99211,336.58674,0.26316,2.02603
0.99474,336.52888,0.26316,2.02621
0.99737,336.47102,0.26316,2.0264
1.0,336.47102,0.26316,1.0
0.0,336.47102,0.52632,0.0
0.02414,350.9109,0.52632,0.20937
0.04828,347.696,0.52632,0.32225
0.07241,345.53771,0.52632,0.39263
0.09655,344.00407,0.52632,0.44062
0.12069,342.87053,0.52632,0.47538
0.14483,342.00576,0.52632,0.50177
0.16897,341.32778,0.52632,0.52259
0.1931,340.78296,0.52632,0.53958
0.21724,340.33424,0.52632,0.55389
0.24138,339.95628,0.52632,0.56629
0.26552,339.63085,0.52632,0.57734
0.28966,339.34478,0.52632,0.58743
0.31379,339.08858,0.52632,0.59685
0.33793,338.85502,0.52632,0.60584
0.36207,338.63906,0.52632,0.61459
0.38621,338.43695,0.52632,0.62322
0.41034,338.24604,0.52632,0.63184
0.43448,338.06425,0.52632,0.64057
0.45862,337.89033,0.52632,0.64946
0.48276,337.72338,0.52632,0.6586
0.5069,337.56288,0.52632,0.66803
0.53103,337.40863,0.52632,0.67781
0.55517,337.26042,0.52632,0.68799
0.57931,337.11843,0.52632,0.69861
0.60345,336.98288,0.52632,0.70971
0.62759,336.85409,0.52632,0.72133
0.65172,336.73248,0.52632,0.73351
0.67586,336.61841,0.52632,0.7463
0.7,336.51243,0.52632,0.75973
0.7,336.51243,0.52632,0.75973
0.7051,336.49113,0.52632,0.76265
0.7102,336.47021,0.52632,0.7656
0.71531,336.44965,0.52632,0.7686
0.72041,336.42953,0.52632,0.77161
0.72551,336.40981,0.52632,0.77466
0.73061,336.39051,0.52632,0.77774
0.73571,336.37162,0.52632,0.78086
0.74082,336.35312,0.52632,0.78401
0.74592,336.33509,0.52632,0.78719
0.75102,336.31748,0.52632,0.79041
0.75612,336.30032,0.52632,0.79366
0.76122,336.2836,0.52632,0.79695
0.76633,336.2673,0.52632,0.80027
0.77143,336.25149,0.52632,0.80363
0.77653,336.23614,0.52632,0.80703
0.78163,336.22126,0.52632,0.81046
0.78673,336.20685,0.52632,0.81392
0.79184,336.1929,0.52632,0.81744
0.79694,336.17946,0.52632,0.82098
0.80204,336.16651,0.52632,0.82457
0.80714,336.15406,0.52632,0.82819
0.81224,336.14212,0.52632,0.83185
0.81735,336.13066,0.52632,0.83556
0.82245,336.11974,0.52632,0.83931
0.82755,336.10935,0.52632,0.8431
0.83265,336.09949,0.52632,0.84692
0.83776,336.09014,0.52632,0.8508
0.84286,336.08135,0.52632,0.85472
0.84796,336.07312,0.52632,0.85868
0.85306,336.06544,0.52632,0.86268
0.85816,336.05832,0.52632,0.86673
0.86327,336.05175,0.52632,0.87083
0.86837,336.04578,0.52632,0.87497
0.87347,336.04038,0.52632,0.87915
0.87857,336.03557,0.52632,0.88339
0.88367,336.03136,0.52632,0.88767
0.88878,336.02775,0.52632,0.89201
0.89388,336.02474,0.52632,0.89639
0.89898,336.02236,0.52632,0.90082
0.90408,336.0206,0.52632,0.9053
0.90918,336.01946,0.52632,0.90983
0.91429,336.01897,0.52632,0.91442
0.91939,336.01911,0.52632,0.91906
0.92449,336.01991,0.52632,0.92375
0.92959,336.02137,0.52632,0.92849
0.93469,336.02349,0.52632,0.93329
0.9398,336.02629,0.52632,0.93816
0.9449,336.02976,0.52632,0.94307
0.95,336.03393,0.52632,0.94804
0.95,336.03393,0.52632,0.94804
0.95263,336.03634,0.52632,0.95063
0.95526,336.03895,0.52632,0.95323
0.95789,336.04174,0.52632,0.95585
0.96053,336.04473,0.52632,0.95849
0.96316,336.04789,0.52632,0.96114
0.96579,336.05125,0.52632,0.96381
0.96842,336.0548,0.52632,0.96649
0.97105,336.05854,0.52632,0.96919
0.97368,336.06247,0.52632,0.9719
0.97632,336.06662,0.52632,0.97464
0.97895,336.07094,0.52632,0.97739
0.98158,336.07546,0.52632,0.98015
0.98421,336.08018,0.52632,0.98294
0.98684,336.0851,0.52632,0.98573
0.98947,336.09021,0.52632,0.98855
0.99211,336.09555,0.52632,0.99139
0.99474,336.10107,0.52632,0.99425
0.99737,336.10679,0.52632,0.99711
1.0,336.10679,0.52632,1.0
0.0,336.10679,1.0,0.0
0.02414,367.25576,1.0,0.21153
0.04828,363.70513,1.0,0.32371
0.07241,361.35318,1.0,0.3929
0.09655,359.70084,1.0,0.43967
0.12069,358.49163,1.0,0.47332
0.14483,357.57703,1.0,0.49873
0.16897,356.86503,1.0,0.5187
0.1931,356.29596,1.0,0.53496
0.21724,355.82894,1.0,0.54864
0.24138,355.43622,1.0,0.56052
0.26552,355.09806,1.0,0.57113
0.28966,354.8003,1.0,0.58086
0.31379,354.53289,1.0,0.59
0.33793,354.28826,1.0,0.59878
0.36207,354.0612,1.0,0.60738
0.38621,353.84791,1.0,0.61592
0.41034,353.64578,1.0,0.62451
0.43448,353.45278,1.0,0.63324
0.45862,353.26776,1.0,0.6422
0.48276,353.08996,1.0,0.65144
0.5069,352.91895,1.0,0.66101
0.53103,352.75466,1.0,0.67097
0.55517,352.59702,1.0,0.68136
0.57931,352.44629,1.0,0.69222
0.60345,352.30281,1.0,0.70359
0.62759,352.16698,1.0,0.71551
0.65172,352.03934,1.0,0.72802
0.67586,351.92029,1.0,0.74115
0.7,351.81046,1.0,0.75494
0.7,351.81046,1.0,0.75494
0.7051,351.78849,1.0,0.75794
0.7102,351.76697,1.0,0.76098
0.71531,351.74585,1.0,0.76405
0.72041,351.72523,1.0,0.76715
0.72551,351.70507,1.0,0.77028
0.73061,351.68537,1.0,0.77344
0.73571,351.66615,1.0,0.77664
0.74082,351.64737,1.0,0.77988
0.74592,351.62911,1.0,0.78314
0.75102,351.61134,1.0,0.78644
0.75612,351.59406,1.0,0.78978
0.76122,351.57729,1.0,0.79315
0.76633,351.561,1.0,0.79656
0.77143,351.54525,1.0,0.80001
0.77653,351.53002,1.0,0.80349
0.78163,351.51532,1.0,0.80701
0.78673,351.50115,1.0,0.81056
0.79184,351.48749,1.0,0.81416
0.79694,351.47441,1.0,0.8178
0.80204,351.46187,1.0,0.82147
0.80714,351.44989,1.0,0.82518
0.81224,351.43848,1.0,0.82893
0.81735,351.42762,1.0,0.83273
0.82245,351.41735,1.0,0.83657
0.82755,351.40767,1.0,0.84044
0.83265,351.39857,1.0,0.84436
0.83776,351.39005,1.0,0.84833
0.84286,351.38216,1.0,0.85233
0.84796,351.37487,1.0,0.85638
0.85306,351.36819,1.0,0.86047
0.85816,351.36214,1.0,0.8646
0.86327,351.3567,1.0,0.86879
0.86837,351.35191,1.0,0.87302
0.87347,351.34776,1.0,0.87729
0.87857,351.34426,1.0,0.88161
0.88367,351.34141,1.0,0.88598
0.88878,351.33921,1.0,0.8904
0.89388,351.33769,1.0,0.89487
0.89898,351.33685,1.0,0.89938
0.90408,351.33668,1.0,0.90395
0.90918,351.3372,1.0,0.90856
0.91429,351.33842,1.0,0.91324
0.91939,351.34033,1.0,0.91796
0.92449,351.34296,1.0,0.92273
0.92959,351.34629,1.0,0.92755
0.93469,351.35035,1.0,0.93243
0.9398,351.35515,1.0,0.93737
0.9449,351.36068,1.0,0.94236
0.95,351.36695,1.0,0.94741
0.95,351.36695,1.0,0.94741
0.95263,351.37047,1.0,0.95003
0.95526,351.37419,1.0,0.95267
0.95789,351.37812,1.0,0.95532
0.96053,351.38227,1.0,0.958
0.96316,351.3866,1.0,0.96069
0.96579,351.39113,1.0,0.96339
0.96842,351.39588,1.0,0.96611
0.97105,351.40082,1.0,0.96884
0.97368,351.40598,1.0,0.97159
0.97632,351.41136,1.0,0.97436
0.97895,351.41694,1.0,0.97714
0.98158,351.42272,1.0,0.97994
0.98421,351.42871,1.0,0.98275
0.98684,351.43492,1.0,0.98558
0.98947,351.44134,1.0,0.98843
0.99211,351.448,1.0,0.99131
0.99474,351.45485,1.0,0.99419
0.99737,351.46192,1.0,0.99709
1.0,351.46192,1.0,1.0
0.0,351.46192,1.31579,0.0
0.02414,374.78215,1.31579,0.21239
0.04828,371.07322,1.31579,0.32424
0.07241,368.63084,1.31579,0.3929
0.09655,366.92358,1.31579,0.43914
0.12069,365.67966,1.31579,0.47231
0.14483,364.74234,1.31579,0.49729
0.16897,364.01492,1.31579,0.51689
0.1931,363.43487,1.31579,0.53283
0.21724,362.95953,1.31579,0.54625
0.24138,362.56006,1.31579,0.5579
0.26552,362.21599,1.31579,0.56833
0.28966,361.91277,1.31579,0.57791
0.31379,361.64006,1.31579,0.58694
0.33793,361.39016,1.31579,0.59564
0.36207,361.15781,1.31579,0.60417
0.38621,360.93919,1.31579,0.61268
0.41034,360.73171,1.31579,0.62126
0.43448,360.53338,1.31579,0.63001
0.45862,360.34311,1.31579,0.639
0.48276,360.16017,1.31579,0.64829
0.5069,359.98423,1.31579,0.65793
0.53103,359.81525,1.31579,0.66797
0.55517,359.65321,1.31579,0.67846
0.57931,359.49845,1.31579,0.68944
0.60345,359.35133,1.31579,0.70093
0.62759,359.21232,1.31579,0.71299
0.65172,359.08197,1.31579,0.72564
0.67586,358.96073,1.31579,0.73892
0.7,358.84926,1.31579,0.75288
0.7,358.84926,1.31579,0.75288
0.7051,358.82701,1.31579,0.75591
0.7102,358.80524,1.31579,0.75898
0.71531,358.78389,1.31579,0.76209
0.72041,358.76307,1.31579,0.76522
0.72551,358.74274,1.31579,0.76839
0.73061,358.7229,1.31579,0.77159
0.73571,358.70356,1.31579,0.77483
0.74082,358.68468,1.31579,0.7781
0.74592,358.66636,1.31579,0.78141
0.75102,358.64855,1.31579,0.78474
0.75612,358.63126,1.31579,0.78812
0.76122,358.6145,1.31579,0.79153
0.76633,358.59825,1.31579,0.79498
0.77143,358.58257,1.31579,0.79846
0.77653,358.56744,1.31579,0.80198
0.78163,358.55286,1.31579,0.80554
0.78673,358.53884,1.31579,0.80913
0.79184,358.52536,1.31579,0.81277
0.79694,358.51248,1.31579,0.81644
0.80204,358.50018,1.31579,0.82015
0.80714,358.48846,1.31579,0.8239
0.81224,358.47734,1.31579,0.82769
0.81735,358.46679,1.31579,0.83153
0.82245,358.45687,1.31579,0.8354
0.82755,358.44755,1.31579,0.83932
0.83265,358.43886,1.31579,0.84327
0.83776,358.43077,1.31579,0.84728
0.84286,358.42332,1.31579,0.85132
0.84796,358.41652,1.31579,0.85541
0.85306,358.41035,1.31579,0.85954
0.85816,358.40483,1.31579,0.86371
0.86327,358.39996,1.31579,0.86794
0.86837,358.39576,1.31579,0.8722
0.87347,358.39223,1.31579,0.87651
0.87857,358.38937,1.31579,0.88087
0.88367,358.38719,1.31579,0.88527
0.88878,358.38569,1.31579,0.88973
0.89388,358.3849,1.31579,0.89424
0.89898,358.3848,1.31579,0.89879
0.90408,358.38541,1.31579,0.90339
0.90918,358.38674,1.31579,0.90804
0.91429,358.38879,1.31579,0.91275
0.91939,358.39156,1.31579,0.9175
0.92449,358.39506,1.31579,0.9223
0.92959,358.39931,1.31579,0.92716
0.93469,358.4043,1.31579,0.93207
0.9398,358.41006,1.31579,0.93705
0.9449,358.41657,1.31579,0.94207
0.95,358.42384,1.31579,0.94714
0.95,358.42384,1.31579,0.94714
0.95263,358.4279,1.31579,0.94978
0.95526,358.43216,1.31579,0.95244
0.95789,358.43662,1.31579,0.95511
0.96053,358.44132,1.31579,0.9578
0.96316,358.44621,1.31579,0.9605
0.96579,358.4513,1.31579,0.96322
0.96842,358.45661,1.31579,0.96595
0.97105,358.46214,1.31579,0.9687
0.97368,358.46787,1.31579,0.97146
0.97632,358.47384,1.31579,0.97425
0.97895,358.48001,1.31579,0.97704
0.98158,358.48639,1.31579,0.97985
0.98421,358.49299,1.31579,0.98268
0.98684,358.49981,1.31579,0.98552
0.98947,358.50684,1.31579,0.98838
0.99211,358.51413,1.31579,0.99127
0.99474,358.5216,1.31579,0.99416
0.99737,358.5293,1.31579,0.99707
1.0,358.5293,1.31579,1.0
0.0,358.5293,1.97368,0.0
0.02414,386.55947,1.97368,0.21362
0.04828,382.59817,1.97368,0.32492
0.07241,380.01273,1.97368,0.39276
0.09655,378.21916,1.97368,0.4382
0.12069,376.92104,1.97368,0.47065
0.14483,375.94845,1.97368,0.495
0.16897,375.19717,1.97368,0.51405
0.1931,374.60013,1.97368,0.52953
0.21724,374.11189,1.97368,0.54255
0.24138,373.70185,1.97368,0.55387
0.26552,373.34849,1.97368,0.56403
0.28966,373.03657,1.97368,0.5734
0.31379,372.75541,1.97368,0.58226
0.33793,372.49706,1.97368,0.59084
0.36207,372.2562,1.97368,0.5993
0.38621,372.02901,1.97368,0.60777
0.41034,371.81294,1.97368,0.61635
0.43448,371.60607,1.97368,0.62513
0.45862,371.40739,1.97368,0.63417
0.48276,371.21628,1.97368,0.64355
0.5069,371.03248,1.97368,0.6533
0.53103,370.85608,1.97368,0.66347
0.55517,370.68714,1.97368,0.67412
0.57931,370.52606,1.97368,0.68527
0.60345,370.37329,1.97368,0.69696
0.62759,370.22936,1.97368,0.70922
0.65172,370.09488,1.97368,0.72209
0.67586,369.97036,1.97368,0.73561
0.7,369.85648,1.97368,0.74981
0.7,369.85648,1.97368,0.74981
0.7051,369.83384,1.97368,0.7529
0.7102,369.81171,1.97368,0.75603
0.71531,369.79006,1.97368,0.75919
0.72041,369.76897,1.97368,0.76238
0.72551,369.74841,1.97368,0.7656
0.73061,369.72838,1.97368,0.76886
0.73571,369.7089,1.97368,0.77215
0.74082,369.68993,1.97368,0.77548
0.74592,369.67154,1.97368,0.77884
0.75102,369.65372,1.97368,0.78223
